mnxm	smiles	mnx_name	element	n_atoms	basis	lane
MNXM146604	CC(C)OC(=O)CCCCCC=CCCCCCCCC(=O)O[C@H]1[C@H](O)C(O)C(OP(=O)(O)OP(=O)(O)OC[C@H]2O[C@H](n3cnc4c3ncnc4N)[C@H](O)[C@H]2O)C(O)[C@H]1O	Phosphatidylinositol 4,5-bisphosphate (homo sapiens, C18:1, C18:1)	C	35	LLM curation lane: Preserves the inositol 4,5-bisphosphate headgroup and inert C18:1 acyl chains Proposed in 1 rewrite(s) that balanced on a per-element recount (MNXR102778).	llm
MNXM146604	CC(C)OC(=O)CCCCCC=CCCCCCCCC(=O)O[C@H]1[C@H](O)C(O)C(OP(=O)(O)OP(=O)(O)OC[C@H]2O[C@H](n3cnc4c3ncnc4N)[C@H](O)[C@H]2O)C(O)[C@H]1O	Phosphatidylinositol 4,5-bisphosphate (homo sapiens, C18:1, C18:1)	N	5	LLM curation lane: Preserves the inositol 4,5-bisphosphate headgroup and inert C18:1 acyl chains Proposed in 1 rewrite(s) that balanced on a per-element recount (MNXR102778).	llm
MNXM146604	CC(C)OC(=O)CCCCCC=CCCCCCCCC(=O)O[C@H]1[C@H](O)C(O)C(OP(=O)(O)OP(=O)(O)OC[C@H]2O[C@H](n3cnc4c3ncnc4N)[C@H](O)[C@H]2O)C(O)[C@H]1O	Phosphatidylinositol 4,5-bisphosphate (homo sapiens, C18:1, C18:1)	P	2	LLM curation lane: Preserves the inositol 4,5-bisphosphate headgroup and inert C18:1 acyl chains Proposed in 1 rewrite(s) that balanced on a per-element recount (MNXR102778).	llm
MNXM147159	CCCCCCCCCCCCC(=O)OCC(COP(=O)(O)OCCN)OC(=O)CCCCC=CCCCC	Monogalactosyldiacylglycerol (1-(9Z)-octadecenoyl,2-(9Z)-hexadecenoyl, 18:1(9Z)/16:1(9Z))	C	29	LLM curation lane: Preserves acyl chains and glycerol backbone. Proposed in 1 rewrite(s) that balanced on a per-element recount (MNXR157703).	llm
MNXM147159	CCCCCCCCCCCCC(=O)OCC(COP(=O)(O)OCCN)OC(=O)CCCCC=CCCCC	Monogalactosyldiacylglycerol (1-(9Z)-octadecenoyl,2-(9Z)-hexadecenoyl, 18:1(9Z)/16:1(9Z))	N	1	LLM curation lane: Preserves acyl chains and glycerol backbone. Proposed in 1 rewrite(s) that balanced on a per-element recount (MNXR157703).	llm
MNXM147159	CCCCCCCCCCCCC(=O)OCC(COP(=O)(O)OCCN)OC(=O)CCCCC=CCCCC	Monogalactosyldiacylglycerol (1-(9Z)-octadecenoyl,2-(9Z)-hexadecenoyl, 18:1(9Z)/16:1(9Z))	P	1	LLM curation lane: Preserves acyl chains and glycerol backbone. Proposed in 1 rewrite(s) that balanced on a per-element recount (MNXR157703).	llm
MNXM147542	CC(C)OC(=O)CCCCCC(=O)OCC1OC(CO)C(O)C(O)C1O	Pail hs 18 2 20 4	C	17	LLM curation lane: preserves the glycerol backbone and acyl chains, with phosphate-free inositol Proposed in 1 rewrite(s) that balanced on a per-element recount (MNXR102841).	llm
MNXM147553	CC(C)OC(=O)CCCCCC=CCCCCCCCC(=O)O[C@H]1[C@H](O)C(O)C(OP(=O)(O)OP(=O)(O)OC[C@H]2O[C@H](n3cnc4c3ncnc4N)[C@H](O)[C@H]2O)C(OP(=O)(O)O)[C@H]1O	Pail345p hs 18 1 18 1	C	35	LLM curation lane: Preserves the inositol 3,4,5-trisphosphate headgroup and inert C18:1 acyl chains Proposed in 1 rewrite(s) that balanced on a per-element recount (MNXR102778).	llm
MNXM147553	CC(C)OC(=O)CCCCCC=CCCCCCCCC(=O)O[C@H]1[C@H](O)C(O)C(OP(=O)(O)OP(=O)(O)OC[C@H]2O[C@H](n3cnc4c3ncnc4N)[C@H](O)[C@H]2O)C(OP(=O)(O)O)[C@H]1O	Pail345p hs 18 1 18 1	N	5	LLM curation lane: Preserves the inositol 3,4,5-trisphosphate headgroup and inert C18:1 acyl chains Proposed in 1 rewrite(s) that balanced on a per-element recount (MNXR102778).	llm
MNXM147553	CC(C)OC(=O)CCCCCC=CCCCCCCCC(=O)O[C@H]1[C@H](O)C(O)C(OP(=O)(O)OP(=O)(O)OC[C@H]2O[C@H](n3cnc4c3ncnc4N)[C@H](O)[C@H]2O)C(OP(=O)(O)O)[C@H]1O	Pail345p hs 18 1 18 1	P	3	LLM curation lane: Preserves the inositol 3,4,5-trisphosphate headgroup and inert C18:1 acyl chains Proposed in 1 rewrite(s) that balanced on a per-element recount (MNXR102778).	llm
MNXM147575	CC(C)OC(=O)CCCCCC(=O)OCC1OC(CO)C(OP(=O)(O)O)C(O)C1O	Pail4p hs 18 2 20 4	C	17	LLM curation lane: preserves the glycerol backbone and acyl chains, with one phosphate added to inositol Proposed in 1 rewrite(s) that balanced on a per-element recount (MNXR102841).	llm
MNXM147575	CC(C)OC(=O)CCCCCC(=O)OCC1OC(CO)C(OP(=O)(O)O)C(O)C1O	Pail4p hs 18 2 20 4	P	1	LLM curation lane: preserves the glycerol backbone and acyl chains, with one phosphate added to inositol Proposed in 1 rewrite(s) that balanced on a per-element recount (MNXR102841).	llm
MNXM148403	C[C@H]1O[C@H](COP(=O)(O)O)[C@@H](O)[C@H](O)[C@@H]1O[C@H]1O[C@H](CO)[C@H](O)[C@@H](O)[C@H]1OP(=O)(O)O	Pail34p hs 18 1 18 2	C	13	LLM curation lane: Preserves the phosphorylated inositol phosphate headgroup and inert acyl chains Proposed in 1 rewrite(s) that balanced on a per-element recount (MNXR102757).	llm
MNXM148403	C[C@H]1O[C@H](COP(=O)(O)O)[C@@H](O)[C@H](O)[C@@H]1O[C@H]1O[C@H](CO)[C@H](O)[C@@H](O)[C@H]1OP(=O)(O)O	Pail34p hs 18 1 18 2	P	2	LLM curation lane: Preserves the phosphorylated inositol phosphate headgroup and inert acyl chains Proposed in 1 rewrite(s) that balanced on a per-element recount (MNXR102757).	llm
MNXM1563468	NC[C@H]1O[C@H](COP(=O)(O)OC(=O)COP(=O)(O)O)[C@@H](O)[C@@H](O)[C@H]1O	a 3'-end 2'-deoxyribonucleotide-3'-phosphoglycolate-DNA	C	9	LLM curation lane: Represents the 3'-end of DNA modified with phosphoglycolate, preserving the linkage site. Proposed in 1 rewrite(s) that balanced on a per-element recount (MNXR203365).	llm
MNXM1563468	NC[C@H]1O[C@H](COP(=O)(O)OC(=O)COP(=O)(O)O)[C@@H](O)[C@@H](O)[C@H]1O	a 3'-end 2'-deoxyribonucleotide-3'-phosphoglycolate-DNA	N	1	LLM curation lane: Represents the 3'-end of DNA modified with phosphoglycolate, preserving the linkage site. Proposed in 1 rewrite(s) that balanced on a per-element recount (MNXR203365).	llm
MNXM1563468	NC[C@H]1O[C@H](COP(=O)(O)OC(=O)COP(=O)(O)O)[C@@H](O)[C@@H](O)[C@H]1O	a 3'-end 2'-deoxyribonucleotide-3'-phosphoglycolate-DNA	P	2	LLM curation lane: Represents the 3'-end of DNA modified with phosphoglycolate, preserving the linkage site. Proposed in 1 rewrite(s) that balanced on a per-element recount (MNXR203365).	llm
MNXM163867	N=C([O-])C1=CN([C@@H]2O[C@H](COP(=O)([O-])OP(=O)(O)OC[C@H]3O[C@@H](N4C=NC5=C(N)N=CN=C54)[C@H](OP(=O)([O-])[O-])[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1	NHDP	C	21	LLM curation lane: NHDP is the oxidized form of NHDPH; replaced with NHDPH minus a proton equivalent to preserve redox chemistry Proposed in 1 rewrite(s) that balanced on a per-element recount (MNXR129599).	llm
MNXM163867	N=C([O-])C1=CN([C@@H]2O[C@H](COP(=O)([O-])OP(=O)(O)OC[C@H]3O[C@@H](N4C=NC5=C(N)N=CN=C54)[C@H](OP(=O)([O-])[O-])[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1	NHDP	N	7	LLM curation lane: NHDP is the oxidized form of NHDPH; replaced with NHDPH minus a proton equivalent to preserve redox chemistry Proposed in 1 rewrite(s) that balanced on a per-element recount (MNXR129599).	llm
MNXM163867	N=C([O-])C1=CN([C@@H]2O[C@H](COP(=O)([O-])OP(=O)(O)OC[C@H]3O[C@@H](N4C=NC5=C(N)N=CN=C54)[C@H](OP(=O)([O-])[O-])[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1	NHDP	P	3	LLM curation lane: NHDP is the oxidized form of NHDPH; replaced with NHDPH minus a proton equivalent to preserve redox chemistry Proposed in 1 rewrite(s) that balanced on a per-element recount (MNXR129599).	llm
MNXM164088	O=[N+]([O-])C1=CC(O[C@H]2[C@@H](O)[C@H](O)OC[C@H]2O)=C([N+](=O)[O-])C=C1	2,5-Dinitrophenyl-beta-D-xylopyranoside	C	11	LLM curation lane: Preserves the dinitrophenol and glycosidic linkage to beta-D-xylose. Proposed in 1 rewrite(s) that balanced on a per-element recount (MNXR133086).	llm
MNXM164088	O=[N+]([O-])C1=CC(O[C@H]2[C@@H](O)[C@H](O)OC[C@H]2O)=C([N+](=O)[O-])C=C1	2,5-Dinitrophenyl-beta-D-xylopyranoside	N	2	LLM curation lane: Preserves the dinitrophenol and glycosidic linkage to beta-D-xylose. Proposed in 1 rewrite(s) that balanced on a per-element recount (MNXR133086).	llm
MNXM164258	C[C@H](CCC(=O)NCC(=O)[O-])[C@H]1CC[C@H]2[C@@H]3CC[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@]12C	3-Oxo-5beta-glycocholanate	C	26	LLM curation lane: Preserves the cholic acid scaffold and glycosyl group for the reduction reaction Proposed in 1 rewrite(s) that balanced on a per-element recount (MNXR130563).	llm
MNXM164258	C[C@H](CCC(=O)NCC(=O)[O-])[C@H]1CC[C@H]2[C@@H]3CC[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@]12C	3-Oxo-5beta-glycocholanate	N	1	LLM curation lane: Preserves the cholic acid scaffold and glycosyl group for the reduction reaction Proposed in 1 rewrite(s) that balanced on a per-element recount (MNXR130563).	llm
MNXM164335	O=C1C(O)C=C(O)C2=C1C=C(O)C=C2	5,8-Dihydroxy-hydronaphthoquinone	C	10	LLM curation lane: Preserves the quinone core and two hydroxyl groups for redox chemistry. Proposed in 1 rewrite(s) that balanced on a per-element recount (MNXR129987).	llm
MNXM164846	O[P](=O)(O)O[C@H]1[C@H](O)[C@@H](O)[C@H](O)[C@@H](O[P](=O)(O)O)[C@H]1O[P](=O)(O)O	Inositol 2,4,5,6-tetrakisphosphate	C	6	LLM curation lane: Preserves four phosphate groups on inositol ring. Proposed in 1 rewrite(s) that balanced on a per-element recount (MNXR133596).	llm
MNXM164846	O[P](=O)(O)O[C@H]1[C@H](O)[C@@H](O)[C@H](O)[C@@H](O[P](=O)(O)O)[C@H]1O[P](=O)(O)O	Inositol 2,4,5,6-tetrakisphosphate	P	3	LLM curation lane: Preserves four phosphate groups on inositol ring. Proposed in 1 rewrite(s) that balanced on a per-element recount (MNXR133596).	llm
MNXM165335	O=C(OP(=O)(O)O)COP(=S)(O)O	(R)-ADP-beta-S	C	2	LLM curation lane: Preserves phosphate and sulfur backbone of ADP-beta-S. Proposed in 1 rewrite(s) that balanced on a per-element recount (MNXR144486).	llm
MNXM165335	O=C(OP(=O)(O)O)COP(=S)(O)O	(R)-ADP-beta-S	S	1	LLM curation lane: Preserves phosphate and sulfur backbone of ADP-beta-S. Proposed in 1 rewrite(s) that balanced on a per-element recount (MNXR144486).	llm
MNXM165335	O=C(OP(=O)(O)O)COP(=S)(O)O	(R)-ADP-beta-S	P	2	LLM curation lane: Preserves phosphate and sulfur backbone of ADP-beta-S. Proposed in 1 rewrite(s) that balanced on a per-element recount (MNXR144486).	llm
MNXM165342	O=C(OP(=O)(O)OP(=O)(O)O)COP(=S)(O)O	(R)-ATP-beta-S	C	2	LLM curation lane: Preserves phosphate and sulfur backbone of ATP-beta-S. Proposed in 1 rewrite(s) that balanced on a per-element recount (MNXR144486).	llm
MNXM165342	O=C(OP(=O)(O)OP(=O)(O)O)COP(=S)(O)O	(R)-ATP-beta-S	S	1	LLM curation lane: Preserves phosphate and sulfur backbone of ATP-beta-S. Proposed in 1 rewrite(s) that balanced on a per-element recount (MNXR144486).	llm
MNXM165342	O=C(OP(=O)(O)OP(=O)(O)O)COP(=S)(O)O	(R)-ATP-beta-S	P	3	LLM curation lane: Preserves phosphate and sulfur backbone of ATP-beta-S. Proposed in 1 rewrite(s) that balanced on a per-element recount (MNXR144486).	llm
MNXM165632	O[C@H]1[C@H](O)[C@@H](O)[C@@H](O)[C@@H](OP(=O)(O)O)[C@@H]1OP(=O)(O)O	2,5-Anhydro-D-mannitol 1,6-bisphosphate	C	6	LLM curation lane: Preserves the bisphosphate group on 2,5-anhydro-D-mannitol Proposed in 1 rewrite(s) that balanced on a per-element recount (MNXR131058).	llm
MNXM165632	O[C@H]1[C@H](O)[C@@H](O)[C@@H](O)[C@@H](OP(=O)(O)O)[C@@H]1OP(=O)(O)O	2,5-Anhydro-D-mannitol 1,6-bisphosphate	P	2	LLM curation lane: Preserves the bisphosphate group on 2,5-anhydro-D-mannitol Proposed in 1 rewrite(s) that balanced on a per-element recount (MNXR131058).	llm
MNXM165633	O[C@H]1[C@H](O)[C@@H](O)[C@@H](O)[C@@H](OP(=O)(O)O)[C@@H]1O	2,5-Anhydro-D-mannitol 1-phosphate	C	6	LLM curation lane: Preserves the monophosphate group on 2,5-anhydro-D-mannitol Proposed in 1 rewrite(s) that balanced on a per-element recount (MNXR131058).	llm
MNXM165633	O[C@H]1[C@H](O)[C@@H](O)[C@@H](O)[C@@H](OP(=O)(O)O)[C@@H]1O	2,5-Anhydro-D-mannitol 1-phosphate	P	1	LLM curation lane: Preserves the monophosphate group on 2,5-anhydro-D-mannitol Proposed in 1 rewrite(s) that balanced on a per-element recount (MNXR131058).	llm
MNXM166264	C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@@]43C)[C@@H]1CC[C@@H]2C(=O)CO	3alpha,21-Dihydroxypregn-4-ene-20-one	C	21	LLM curation lane: Preserves the steroid scaffold and hydroxyl groups for the redox transformation. Proposed in 1 rewrite(s) that balanced on a per-element recount (MNXR131727).	llm
MNXM167783	C[C@H](NC1=CC=CC=C1)C(C(=O)O)N	gamma-(o-Aminophenyl)-L-homoserine	C	10	LLM curation lane: Preserves the bond between the alanine backbone and the o-aminobenzaldehyde moiety. Proposed in 1 rewrite(s) that balanced on a per-element recount (MNXR133432).	llm
MNXM167783	C[C@H](NC1=CC=CC=C1)C(C(=O)O)N	gamma-(o-Aminophenyl)-L-homoserine	N	2	LLM curation lane: Preserves the bond between the alanine backbone and the o-aminobenzaldehyde moiety. Proposed in 1 rewrite(s) that balanced on a per-element recount (MNXR133432).	llm
MNXM167874	N[C@@H](CC(=O)N[C@@H](CC(=O)O)C(=O)O)C(=O)O	GSKalpha peptide	C	8	LLM curation lane: minimal peptide with a phosphorylatable serine Proposed in 1 rewrite(s) that balanced on a per-element recount (MNXR132240).	llm
MNXM167874	N[C@@H](CC(=O)N[C@@H](CC(=O)O)C(=O)O)C(=O)O	GSKalpha peptide	N	2	LLM curation lane: minimal peptide with a phosphorylatable serine Proposed in 1 rewrite(s) that balanced on a per-element recount (MNXR132240).	llm
MNXM168000	O[P](=O)(O)O[C@H]1[C@H](O)[C@@H](O)[C@H](O)[C@@H](O)[C@H]1O[P](=O)(O)O	Inositol 2,4,6-trisphosphate	C	6	LLM curation lane: Preserves three phosphate groups on inositol ring. Proposed in 1 rewrite(s) that balanced on a per-element recount (MNXR133596).	llm
MNXM168000	O[P](=O)(O)O[C@H]1[C@H](O)[C@@H](O)[C@H](O)[C@@H](O)[C@H]1O[P](=O)(O)O	Inositol 2,4,6-trisphosphate	P	2	LLM curation lane: Preserves three phosphate groups on inositol ring. Proposed in 1 rewrite(s) that balanced on a per-element recount (MNXR133596).	llm
MNXM168184	C[Se](=O)CC[C@H]([NH3+])C(=O)[O-]	L-Selenomethionine selenoxide	C	5	LLM curation lane: Preserves the selenoxide oxidation state and structure of the selenomethionine core Proposed in 1 rewrite(s) that balanced on a per-element recount (MNXR130165).	llm
MNXM168184	C[Se](=O)CC[C@H]([NH3+])C(=O)[O-]	L-Selenomethionine selenoxide	N	1	LLM curation lane: Preserves the selenoxide oxidation state and structure of the selenomethionine core Proposed in 1 rewrite(s) that balanced on a per-element recount (MNXR130165).	llm
MNXM168294	OC[C@H]1OC(O[P](=O)(O)O)[C@H](O[P](=O)(O)O)[C@@H](O)[C@@H]1O	Mannose 1,6-bisphosphate	C	6	LLM curation lane: Preserves the core sugar and both phosphate groups. Proposed in 1 rewrite(s) that balanced on a per-element recount (MNXR172730).	llm
MNXM168294	OC[C@H]1OC(O[P](=O)(O)O)[C@H](O[P](=O)(O)O)[C@@H](O)[C@@H]1O	Mannose 1,6-bisphosphate	P	2	LLM curation lane: Preserves the core sugar and both phosphate groups. Proposed in 1 rewrite(s) that balanced on a per-element recount (MNXR172730).	llm
MNXM168470	CC(=O)N[C@@H](CO)C1=CC(O)=CC=C1	N-Acetyl-L-o-tyrosine	C	10	LLM curation lane: Preserves the acetylated tyrosine scaffold with hydroxyl group for esterification. Proposed in 1 rewrite(s) that balanced on a per-element recount (MNXR132256).	llm
MNXM168470	CC(=O)N[C@@H](CO)C1=CC(O)=CC=C1	N-Acetyl-L-o-tyrosine	N	1	LLM curation lane: Preserves the acetylated tyrosine scaffold with hydroxyl group for esterification. Proposed in 1 rewrite(s) that balanced on a per-element recount (MNXR132256).	llm
MNXM168471	CC(=O)N[C@@H](CO)C1=CC(OC)=CC=C1	N-Acetyl-L-o-tyrosine methyl ester	C	11	LLM curation lane: Preserves the acetylated tyrosine scaffold with methyl ester group. Proposed in 1 rewrite(s) that balanced on a per-element recount (MNXR132256).	llm
MNXM168471	CC(=O)N[C@@H](CO)C1=CC(OC)=CC=C1	N-Acetyl-L-o-tyrosine methyl ester	N	1	LLM curation lane: Preserves the acetylated tyrosine scaffold with methyl ester group. Proposed in 1 rewrite(s) that balanced on a per-element recount (MNXR132256).	llm
MNXM168550	C(=O)NC(CCC(=O)NCC(O)C(N)C(O)=O)C(N)C(O)=O	N-Formyl-Nle-Ala-Ser	C	11	LLM curation lane: Preserves the formylated tripeptide structure for hydrolysis Proposed in 1 rewrite(s) that balanced on a per-element recount (MNXR131979).	llm
MNXM168550	C(=O)NC(CCC(=O)NCC(O)C(N)C(O)=O)C(N)C(O)=O	N-Formyl-Nle-Ala-Ser	N	4	LLM curation lane: Preserves the formylated tripeptide structure for hydrolysis Proposed in 1 rewrite(s) that balanced on a per-element recount (MNXR131979).	llm
MNXM168699	NC(CCC(=O)NCC(O)C(N)C(O)=O)C(N)C(O)=O	Nle-Ala-Ser	C	10	LLM curation lane: Preserves the tripeptide structure after hydrolysis Proposed in 1 rewrite(s) that balanced on a per-element recount (MNXR131979).	llm
MNXM168699	NC(CCC(=O)NCC(O)C(N)C(O)=O)C(N)C(O)=O	Nle-Ala-Ser	N	4	LLM curation lane: Preserves the tripeptide structure after hydrolysis Proposed in 1 rewrite(s) that balanced on a per-element recount (MNXR131979).	llm
MNXM168893	N[C@@H](CC(=O)N[C@@H](CC(=O)O)C(=O)OP(=O)(O)O)C(=O)O	phosphorylated GSKalpha peptide	C	8	LLM curation lane: phosphorylated minimal peptide with a phosphorylated serine Proposed in 1 rewrite(s) that balanced on a per-element recount (MNXR132240).	llm
MNXM168893	N[C@@H](CC(=O)N[C@@H](CC(=O)O)C(=O)OP(=O)(O)O)C(=O)O	phosphorylated GSKalpha peptide	N	2	LLM curation lane: phosphorylated minimal peptide with a phosphorylated serine Proposed in 1 rewrite(s) that balanced on a per-element recount (MNXR132240).	llm
MNXM168893	N[C@@H](CC(=O)N[C@@H](CC(=O)O)C(=O)OP(=O)(O)O)C(=O)O	phosphorylated GSKalpha peptide	P	1	LLM curation lane: phosphorylated minimal peptide with a phosphorylated serine Proposed in 1 rewrite(s) that balanced on a per-element recount (MNXR132240).	llm
MNXM169242	N=C(O)C1=CSC([C@@H]2O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]2O)=N1	Tiazofurin monophosphate	C	9	LLM curation lane: Preserves the phosphate group and tiazofurin core. Proposed in 1 rewrite(s) that balanced on a per-element recount (MNXR130409).	llm
MNXM169242	N=C(O)C1=CSC([C@@H]2O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]2O)=N1	Tiazofurin monophosphate	N	2	LLM curation lane: Preserves the phosphate group and tiazofurin core. Proposed in 1 rewrite(s) that balanced on a per-element recount (MNXR130409).	llm
MNXM169242	N=C(O)C1=CSC([C@@H]2O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]2O)=N1	Tiazofurin monophosphate	S	1	LLM curation lane: Preserves the phosphate group and tiazofurin core. Proposed in 1 rewrite(s) that balanced on a per-element recount (MNXR130409).	llm
MNXM169242	N=C(O)C1=CSC([C@@H]2O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]2O)=N1	Tiazofurin monophosphate	P	1	LLM curation lane: Preserves the phosphate group and tiazofurin core. Proposed in 1 rewrite(s) that balanced on a per-element recount (MNXR130409).	llm
MNXM1755	CC1=C(C=C(C=C1)C2=CC=CC=C2)C3=CC=CC=C3	methylmenaquinone 7	C	19	LLM curation lane: Preserves the redox-active quinone core Proposed in 1 rewrite(s) that balanced on a per-element recount (MNXR137703).	llm
MNXM18041	OC[C@H]1O[C@@H](O[C@H]2[C@H](O)[C@@H](O)C(O)O[C@@H]2CO)[C@H](O)[C@@H](O)[C@@H]1O	gentobiose	C	12	LLM curation lane: gentobiose is a disaccharide of two beta-D-glucose units linked alpha-1,6 Proposed in 1 rewrite(s) that balanced on a per-element recount (MNXR136562).	llm
MNXM1843	CC1=C(C=C(C=C1)C2=CC=CC=C2)C3=CC=CC=C3	methymenaquinol 7	C	19	LLM curation lane: Preserves the reduced quinol form of the same core Proposed in 1 rewrite(s) that balanced on a per-element recount (MNXR137703).	llm
MNXM21520	[*][*][Fe+2]1([*][*])[S-2][Fe+2]([*][*])([*][*])[S-2]1	reduced putidaredoxin	S	2	LLM curation lane: preserves iron redox state and cluster connectivity Proposed in 1 rewrite(s) that balanced on a per-element recount (MNXR113433).	llm
MNXM4799	[*]C(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](N2C=NC3=C2N=CN=C3N)[C@H](O)[C@@H]1OP(=O)([O-])[O-]	R group 4 Coenzyme A homo sapiens	C	22	LLM curation lane: Preserves the reactive thioester group of acyl-CoA Proposed in 1 rewrite(s) that balanced on a per-element recount (MNXR104111).	llm
MNXM4799	[*]C(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](N2C=NC3=C2N=CN=C3N)[C@H](O)[C@@H]1OP(=O)([O-])[O-]	R group 4 Coenzyme A homo sapiens	N	7	LLM curation lane: Preserves the reactive thioester group of acyl-CoA Proposed in 1 rewrite(s) that balanced on a per-element recount (MNXR104111).	llm
MNXM4799	[*]C(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](N2C=NC3=C2N=CN=C3N)[C@H](O)[C@@H]1OP(=O)([O-])[O-]	R group 4 Coenzyme A homo sapiens	S	1	LLM curation lane: Preserves the reactive thioester group of acyl-CoA Proposed in 1 rewrite(s) that balanced on a per-element recount (MNXR104111).	llm
MNXM4799	[*]C(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](N2C=NC3=C2N=CN=C3N)[C@H](O)[C@@H]1OP(=O)([O-])[O-]	R group 4 Coenzyme A homo sapiens	P	3	LLM curation lane: Preserves the reactive thioester group of acyl-CoA Proposed in 1 rewrite(s) that balanced on a per-element recount (MNXR104111).	llm
MNXM507098	O=C1NC(=O)C2=C(N1)C=CC=C2OP(=O)(O)O	CPDQT-10	C	8	LLM curation lane: preserves the phosphate group and quinolinate core Proposed in 1 rewrite(s) that balanced on a per-element recount (MNXR179616).	llm
MNXM507098	O=C1NC(=O)C2=C(N1)C=CC=C2OP(=O)(O)O	CPDQT-10	N	2	LLM curation lane: preserves the phosphate group and quinolinate core Proposed in 1 rewrite(s) that balanced on a per-element recount (MNXR179616).	llm
MNXM507098	O=C1NC(=O)C2=C(N1)C=CC=C2OP(=O)(O)O	CPDQT-10	P	1	LLM curation lane: preserves the phosphate group and quinolinate core Proposed in 1 rewrite(s) that balanced on a per-element recount (MNXR179616).	llm
MNXM507107	O=C1NC(=O)C2=C(N1)C=CC=C2	CPDQT-9	C	8	LLM curation lane: preserves the quinolinate core without phosphate Proposed in 1 rewrite(s) that balanced on a per-element recount (MNXR179616).	llm
MNXM507107	O=C1NC(=O)C2=C(N1)C=CC=C2	CPDQT-9	N	2	LLM curation lane: preserves the quinolinate core without phosphate Proposed in 1 rewrite(s) that balanced on a per-element recount (MNXR179616).	llm
MNXM507715	NC1=NC=NC2=C1N=CN2[C@H]1C[C@H](O)[C@@H](COP(=O)([O-])OP(=O)([O-])[O-])O1	Dexoxy-ADP	C	10	LLM curation lane: Preserves deoxyribose backbone and diphosphate group of Dexoxy-ADP. Proposed in 1 rewrite(s) that balanced on a per-element recount (MNXR180536).	llm
MNXM507715	NC1=NC=NC2=C1N=CN2[C@H]1C[C@H](O)[C@@H](COP(=O)([O-])OP(=O)([O-])[O-])O1	Dexoxy-ADP	N	5	LLM curation lane: Preserves deoxyribose backbone and diphosphate group of Dexoxy-ADP. Proposed in 1 rewrite(s) that balanced on a per-element recount (MNXR180536).	llm
MNXM507715	NC1=NC=NC2=C1N=CN2[C@H]1C[C@H](O)[C@@H](COP(=O)([O-])OP(=O)([O-])[O-])O1	Dexoxy-ADP	P	2	LLM curation lane: Preserves deoxyribose backbone and diphosphate group of Dexoxy-ADP. Proposed in 1 rewrite(s) that balanced on a per-element recount (MNXR180536).	llm
MNXM6573	CC(C)C[C@H](O)C(OP(=O)(O)O)C(=O)O	1,2-dianteisoheptadecanoyl-sn-glycerol 3-phosphate	C	7	LLM curation lane: Preserves the glycerol backbone, two inert acyl chains, and the phosphate addition. Proposed in 1 rewrite(s) that balanced on a per-element recount (MNXR136250).	llm
MNXM6573	CC(C)C[C@H](O)C(OP(=O)(O)O)C(=O)O	1,2-dianteisoheptadecanoyl-sn-glycerol 3-phosphate	P	1	LLM curation lane: Preserves the glycerol backbone, two inert acyl chains, and the phosphate addition. Proposed in 1 rewrite(s) that balanced on a per-element recount (MNXR136250).	llm
MNXM729066	N[C@H](CC(=O)O)C(=O)O	Peptide	C	4	LLM curation lane: minimal capped peptide stub preserves acetylation site Proposed in 1 rewrite(s) that balanced on a per-element recount (MNXR145940).	llm
MNXM729066	N[C@H](CC(=O)O)C(=O)O	Peptide	N	1	LLM curation lane: minimal capped peptide stub preserves acetylation site Proposed in 1 rewrite(s) that balanced on a per-element recount (MNXR145940).	llm
MNXM738980	CC(=O)N[C@H](CC(=O)O)C(=O)O	Nalpha-Acetylpeptide	C	6	LLM curation lane: acetylated peptide stub preserves acetylation chemistry Proposed in 1 rewrite(s) that balanced on a per-element recount (MNXR145940).	llm
MNXM738980	CC(=O)N[C@H](CC(=O)O)C(=O)O	Nalpha-Acetylpeptide	N	1	LLM curation lane: acetylated peptide stub preserves acetylation chemistry Proposed in 1 rewrite(s) that balanced on a per-element recount (MNXR145940).	llm
MNXM7956	CC(C)C[C@H](O)C(O)C(=O)O	1,2-Dianteisoheptadecanoyl-sn-glycerol	C	7	LLM curation lane: Preserves the glycerol backbone and two inert acyl chains. Proposed in 1 rewrite(s) that balanced on a per-element recount (MNXR136250).	llm
