orf	ec	mnxr	n_ec	n_mnxr
ECDH10B_1032	5.6.2.4	MNXR116728;MNXR153054	1	2
ECDH10B_1033	4.2.3.3	MNXR101551	1	1
ECDH10B_1037	2.1.1.191	MNXR117042;MNXR168240	1	2
ECDH10B_1038	3.6.1.7	MNXR105353;MNXR106983;MNXR131376;MNXR131377;MNXR131378;MNXR131379;MNXR131380;MNXR146948;MNXR146949;MNXR146950;MNXR165696;MNXR175262;MNXR95410;MNXR95427	1	14
ECDH10B_1042	1.12.99.6	MNXR110873;MNXR111616;MNXR123177;MNXR144139;MNXR189364;MNXR189365;MNXR192058	1	7
ECDH10B_1043	1.12.99.6	MNXR110873;MNXR111616;MNXR123177;MNXR144139;MNXR189364;MNXR189365;MNXR192058	1	7
ECDH10B_1048	7.1.1.3	MNXR121175;MNXR123243;MNXR193439;MNXR200518	1	4
ECDH10B_1049	7.1.1.3	MNXR121175;MNXR123243;MNXR193439;MNXR200518	1	4
ECDH10B_1052	3.1.3.48	MNXR105353;MNXR118733;MNXR130489;MNXR131711;MNXR131780;MNXR133260;MNXR133261;MNXR133262;MNXR133263;MNXR133264;MNXR133265;MNXR133266;MNXR133267;MNXR133268;MNXR133269;MNXR133270;MNXR133582;MNXR133583;MNXR133584;MNXR133585;MNXR134106;MNXR145997;MNXR146612;MNXR147702;MNXR147703;MNXR147704;MNXR165423;MNXR175667;MNXR195013	1	29
ECDH10B_1065	2.7.13.3	MNXR115210;MNXR172198;MNXR174200;MNXR194965;MNXR195082	1	5
ECDH10B_1069	1.7.2.3	MNXR107578;MNXR139917;MNXR147697;MNXR164387;MNXR164388;MNXR166334;MNXR173978;MNXR177693	1	8
ECDH10B_1074	3.1.3.10	MNXR106760;MNXR152748;MNXR152749;MNXR152752;MNXR152753;MNXR153676;MNXR153718;MNXR173090;MNXR175474;MNXR198783	1	10
ECDH10B_1076	1.6.5.2	MNXR101871;MNXR101872;MNXR101876;MNXR101891;MNXR101893;MNXR104922;MNXR104923;MNXR108322;MNXR108448;MNXR109419;MNXR110590;MNXR111019;MNXR111020;MNXR114364;MNXR116079;MNXR116093;MNXR117479;MNXR129914;MNXR130303;MNXR132869;MNXR133773;MNXR134078;MNXR135020;MNXR136518;MNXR143496;MNXR144432;MNXR144731;MNXR144762;MNXR145759;MNXR145766;MNXR168816;MNXR168817;MNXR172482;MNXR172827;MNXR172829;MNXR173518;MNXR175606;MNXR182018;MNXR182019;MNXR182020;MNXR182021;MNXR182022;MNXR182023;MNXR182024;MNXR182025;MNXR182026;MNXR182027;MNXR182028;MNXR182029;MNXR182030;MNXR182031;MNXR182032;MNXR182033;MNXR182034;MNXR182035;MNXR182036;MNXR182037;MNXR182038;MNXR182039;MNXR182040;MNXR182041;MNXR182042;MNXR182043;MNXR182044;MNXR182045;MNXR182046;MNXR182047;MNXR182048;MNXR182049;MNXR182050;MNXR182051;MNXR182052;MNXR182053;MNXR182054;MNXR182055;MNXR182056;MNXR182057;MNXR182058;MNXR182059;MNXR182060;MNXR182061;MNXR182062;MNXR182063;MNXR182064;MNXR182065;MNXR182066;MNXR182067;MNXR182068;MNXR182069;MNXR182070;MNXR182071;MNXR182072;MNXR182073;MNXR182074;MNXR182075;MNXR182076;MNXR182077;MNXR182078;MNXR182079;MNXR182080;MNXR182081;MNXR182082;MNXR182083;MNXR182084;MNXR182085;MNXR182086;MNXR182087;MNXR182418;MNXR182419;MNXR187559;MNXR193930;MNXR193949;MNXR194838;MNXR194839;MNXR194840;MNXR195032;MNXR195033	1	117
ECDH10B_1079	1.5.1.42	MNXR172532;MNXR198820;MNXR198821	1	3
ECDH10B_1080	1.1.1.298	MNXR101737	1	1
ECDH10B_1083	3.5.1.110	MNXR146719;MNXR146720;MNXR150702;MNXR150703;MNXR150704;MNXR150705;MNXR150706;MNXR150707;MNXR96481	1	9
ECDH10B_1084	1.14.99.46	MNXR150697;MNXR150699;MNXR163892;MNXR192276;MNXR192277;MNXR192278;MNXR192279;MNXR192692;MNXR192693;MNXR192694;MNXR192695;MNXR201001	1	12
ECDH10B_1086	1.2.1.88;1.5.5.2	MNXR102248;MNXR102301;MNXR103352;MNXR103378;MNXR104540;MNXR105368;MNXR106651;MNXR106885;MNXR107083;MNXR116218;MNXR119011;MNXR123363;MNXR130389;MNXR130718;MNXR130719;MNXR133686;MNXR145234;MNXR166300;MNXR168173;MNXR172862;MNXR182868;MNXR95015;MNXR95749;MNXR95750;MNXR95751	2	25
ECDH10B_1092	4.98.1.1	MNXR99471	1	1
ECDH10B_1105	1.1.1.79;1.1.1.81	MNXR100325;MNXR100331;MNXR100332;MNXR100336;MNXR101008;MNXR115974;MNXR199901	2	7
ECDH10B_1117	3.1.1.106	MNXR123366;MNXR163813	1	2
ECDH10B_1125	2.3.1.241	MNXR116017;MNXR149151;MNXR149152;MNXR165090;MNXR166547;MNXR193768;MNXR193967;MNXR193976;MNXR195370;MNXR199342;MNXR200644;MNXR200655;MNXR201256;MNXR97899	1	14
ECDH10B_1133	3.5.2.3	MNXR133058;MNXR180514;MNXR97428	1	3
ECDH10B_1137	2.3.1.267	MNXR148653;MNXR163940;MNXR168394;MNXR187543	1	4
ECDH10B_1155	3.1.26.12	MNXR123307;MNXR123308;MNXR174267;MNXR177735;MNXR177736;MNXR177737;MNXR183585	1	7
ECDH10B_1157	5.4.99.24	MNXR117185;MNXR168178	1	2
ECDH10B_1162	2.3.1.274	MNXR122884;MNXR131541;MNXR163733;MNXR168153	1	4
ECDH10B_1163	2.3.1.180	MNXR145324;MNXR145327;MNXR145329;MNXR145330;MNXR148953;MNXR149053;MNXR149063;MNXR149073;MNXR149081;MNXR149091;MNXR152846;MNXR152849;MNXR165509;MNXR176055;MNXR189686	1	15
ECDH10B_1164	2.3.1.39	MNXR110312;MNXR129691;MNXR132645;MNXR145554;MNXR145555;MNXR145556;MNXR145557;MNXR164844;MNXR164845;MNXR164851;MNXR164858;MNXR168056;MNXR172472;MNXR172473;MNXR173025;MNXR186961;MNXR200258;MNXR200599	1	18
ECDH10B_1165	1.1.1.100	MNXR111352;MNXR116437;MNXR116441;MNXR117851;MNXR118085;MNXR120237;MNXR120242;MNXR120246;MNXR120250;MNXR122847;MNXR122850;MNXR122852;MNXR122857;MNXR122861;MNXR122911;MNXR123135;MNXR123457;MNXR123458;MNXR123469;MNXR123487;MNXR123488;MNXR123497;MNXR123498;MNXR123504;MNXR123510;MNXR123512;MNXR123516;MNXR123517;MNXR123523;MNXR123546;MNXR123548;MNXR123551;MNXR123559;MNXR123563;MNXR123564;MNXR123584;MNXR123600;MNXR123601;MNXR123602;MNXR123609;MNXR123610;MNXR123621;MNXR123623;MNXR123630;MNXR135634;MNXR147805;MNXR147806;MNXR147807;MNXR150751;MNXR150752;MNXR150755;MNXR150756;MNXR152653;MNXR152654;MNXR152655;MNXR152656;MNXR152657;MNXR152658;MNXR152659;MNXR152660;MNXR152661;MNXR152662;MNXR152663;MNXR152664;MNXR152665;MNXR152666;MNXR152667;MNXR152668;MNXR152669;MNXR152670;MNXR152671;MNXR152672;MNXR152673;MNXR152674;MNXR152675;MNXR152676;MNXR152677;MNXR152678;MNXR152679;MNXR152680;MNXR165875;MNXR167627;MNXR167631;MNXR176538;MNXR176548;MNXR177488;MNXR177490;MNXR177494;MNXR177526;MNXR182421;MNXR182443;MNXR182533;MNXR193262;MNXR193266;MNXR193270;MNXR193274;MNXR193278;MNXR193282;MNXR193292;MNXR193297;MNXR193302;MNXR193307;MNXR193312;MNXR193317;MNXR193322;MNXR193327;MNXR193332;MNXR193337;MNXR193342;MNXR193347;MNXR193611;MNXR197705;MNXR200181;MNXR94943;MNXR94945;MNXR94947;MNXR94949	1	117
ECDH10B_1167	2.3.1.179	MNXR115071;MNXR115237;MNXR116436;MNXR116440;MNXR120236;MNXR120241;MNXR120245;MNXR120249;MNXR122301;MNXR123134;MNXR130478;MNXR130479;MNXR132718;MNXR145324;MNXR145325;MNXR145326;MNXR145327;MNXR147808;MNXR148950;MNXR148951;MNXR148953;MNXR149050;MNXR149051;MNXR149053;MNXR149060;MNXR149061;MNXR149063;MNXR149070;MNXR149071;MNXR149073;MNXR149078;MNXR149079;MNXR149081;MNXR149088;MNXR149089;MNXR149091;MNXR150058;MNXR150061;MNXR150749;MNXR150750;MNXR150753;MNXR150754;MNXR152846;MNXR152849;MNXR170414;MNXR174039;MNXR177798;MNXR177799;MNXR177811;MNXR177813;MNXR177828;MNXR177832;MNXR177837;MNXR177843;MNXR177848;MNXR177851;MNXR177852;MNXR177853;MNXR177855;MNXR177856;MNXR177861;MNXR177865;MNXR177868;MNXR178071;MNXR183820;MNXR193265;MNXR193269;MNXR193273;MNXR193277;MNXR193281;MNXR193296;MNXR193301;MNXR193306;MNXR193311;MNXR193316;MNXR193326;MNXR193331;MNXR193336;MNXR193341;MNXR193346;MNXR94962	1	81
ECDH10B_1168	4.1.3.38	MNXR95436	1	1
ECDH10B_1169	4.2.2.29	MNXR199249	1	1
ECDH10B_1170	2.7.4.9	MNXR104907;MNXR105160;MNXR180524;MNXR194862;MNXR194863;MNXR194864;MNXR194865;MNXR97804	1	8
ECDH10B_1171	2.7.7.7	MNXR114332;MNXR135044;MNXR135045;MNXR135046;MNXR135047;MNXR135048;MNXR166212;MNXR173099;MNXR175412	1	9
ECDH10B_1173	2.7.1.199	MNXR107699;MNXR119130;MNXR123923;MNXR123926;MNXR130617;MNXR141017;MNXR144352;MNXR183981;MNXR191820;MNXR191821	1	10
ECDH10B_1178	2.7.1.89	MNXR104898	1	1
ECDH10B_1179	3.2.1.52	MNXR111394;MNXR111395;MNXR112753;MNXR114146;MNXR114614;MNXR114615;MNXR115380;MNXR117665;MNXR130384;MNXR130401;MNXR133540;MNXR134054;MNXR134062;MNXR135447;MNXR135475;MNXR138034;MNXR148199;MNXR148200;MNXR148201;MNXR148586;MNXR148587;MNXR148588;MNXR148821;MNXR148822;MNXR148823;MNXR152917;MNXR152918;MNXR172242;MNXR173039;MNXR173074;MNXR173336;MNXR173393;MNXR174363;MNXR176108;MNXR179752;MNXR179753;MNXR180964;MNXR180969;MNXR184077;MNXR190172;MNXR193125;MNXR197206;MNXR197207;MNXR198355;MNXR199098;MNXR199413;MNXR199426	1	47
ECDH10B_1181	1.6.5.9	MNXR101872;MNXR111019;MNXR114994;MNXR116079;MNXR123249;MNXR133411;MNXR143480;MNXR144144;MNXR144432;MNXR145759;MNXR168816;MNXR182053;MNXR188078	1	13
ECDH10B_1191	2.7.1.59	MNXR104634;MNXR106974;MNXR106976;MNXR111364;MNXR113772;MNXR135091;MNXR135124;MNXR150309;MNXR152759;MNXR152772;MNXR152788;MNXR152973;MNXR173167;MNXR190107;MNXR190109;MNXR192579;MNXR196505;MNXR197720;MNXR197767;MNXR197808;MNXR197810;MNXR198694;MNXR198695	1	23
ECDH10B_1192	2.3.1.286	MNXR113957;MNXR113958;MNXR119084;MNXR123376;MNXR168371;MNXR195037;MNXR200670	1	7
ECDH10B_1198	7.6.2.11	MNXR103338;MNXR104494;MNXR115564;MNXR162759	1	4
ECDH10B_1199	3.4.11.4	MNXR115435;MNXR129440;MNXR129447;MNXR129471;MNXR129883;MNXR130223;MNXR134124;MNXR144302;MNXR151484;MNXR174409	1	10
ECDH10B_1200	1.14.11.47	MNXR123382;MNXR168019;MNXR186385	1	3
ECDH10B_1201	2.7.13.3	MNXR115210;MNXR172198;MNXR174200;MNXR194965;MNXR195082	1	5
ECDH10B_1203	4.3.2.2	MNXR189171;MNXR190613;MNXR200957	1	3
ECDH10B_1205	2.8.1.13	MNXR112215;MNXR120407;MNXR164033;MNXR168982;MNXR183896;MNXR197196	1	6
ECDH10B_1207	5.4.99.20	MNXR117181;MNXR167544	1	2
ECDH10B_1217	3.1.4.52	MNXR150480	1	1
ECDH10B_1233	5.3.2.2	MNXR102100;MNXR125856	1	2
ECDH10B_1243	5.1.1.1	MNXR104348;MNXR130199;MNXR95693	1	3
ECDH10B_1245	3.4.17.13	MNXR115457;MNXR120277;MNXR123132;MNXR123225;MNXR152204;MNXR152205;MNXR152206;MNXR152207;MNXR152208;MNXR152209;MNXR169267;MNXR189592;MNXR189594;MNXR203695	1	14
ECDH10B_1250	3.2.1.28	MNXR124067;MNXR135462;MNXR142620;MNXR192384;MNXR192385	1	5
ECDH10B_1251	2.7.1.121	MNXR194912;MNXR194913;MNXR194914;MNXR194915;MNXR194916;MNXR194917;MNXR194918;MNXR194919;MNXR194920;MNXR194921;MNXR194922;MNXR97364	1	12
ECDH10B_1252	2.7.1.121	MNXR194912;MNXR194913;MNXR194914;MNXR194915;MNXR194916;MNXR194917;MNXR194918;MNXR194919;MNXR194920;MNXR194921;MNXR194922;MNXR97364	1	12
ECDH10B_1253	2.7.1.121	MNXR194912;MNXR194913;MNXR194914;MNXR194915;MNXR194916;MNXR194917;MNXR194918;MNXR194919;MNXR194920;MNXR194921;MNXR194922;MNXR97364	1	12
ECDH10B_1257	3.1.1.29	MNXR115700;MNXR117572;MNXR120256;MNXR148614;MNXR148615;MNXR148616;MNXR170284;MNXR175308;MNXR178106;MNXR179989	1	10
ECDH10B_1260	2.7.6.1	MNXR144415;MNXR144416;MNXR144417;MNXR146142;MNXR152578;MNXR189826	1	6
ECDH10B_1261	2.7.1.148	MNXR153163;MNXR180507	1	2
ECDH10B_1263	1.2.1.70	MNXR115933;MNXR145076;MNXR145077;MNXR145078;MNXR145079;MNXR165528;MNXR175487;MNXR180500;MNXR187675	1	9
ECDH10B_1265	2.1.1.297	MNXR114122;MNXR119058;MNXR168236	1	3
ECDH10B_1268	2.5.1.55	MNXR133161;MNXR143775;MNXR144444;MNXR152038;MNXR152039;MNXR97218	1	6
ECDH10B_1277	4.3.2.7	MNXR169084	1	1
ECDH10B_1281	2.7.13.3	MNXR115210;MNXR172198;MNXR174200;MNXR194965;MNXR195082	1	5
ECDH10B_1283	1.7.5.1	MNXR112918;MNXR123284;MNXR123388;MNXR137041;MNXR144135;MNXR170648;MNXR173730;MNXR177655;MNXR177723;MNXR182141;MNXR182142;MNXR182143;MNXR182144;MNXR193437;MNXR196586;MNXR196587	1	16
ECDH10B_1284	1.7.5.1	MNXR112918;MNXR123284;MNXR123388;MNXR137041;MNXR144135;MNXR170648;MNXR173730;MNXR177655;MNXR177723;MNXR182141;MNXR182142;MNXR182143;MNXR182144;MNXR193437;MNXR196586;MNXR196587	1	16
ECDH10B_1286	1.7.5.1	MNXR112918;MNXR123284;MNXR123388;MNXR137041;MNXR144135;MNXR170648;MNXR173730;MNXR177655;MNXR177723;MNXR182141;MNXR182142;MNXR182143;MNXR182144;MNXR193437;MNXR196586;MNXR196587	1	16
ECDH10B_1292	3.5.1.10	MNXR115889;MNXR150706;MNXR191095	1	3
ECDH10B_1296	2.7.7.9	MNXR144933;MNXR152165;MNXR152166;MNXR180407;MNXR180442;MNXR192102	1	6
ECDH10B_1298	2.7.1.21	MNXR104885;MNXR111793;MNXR129773;MNXR131415;MNXR131416;MNXR131417;MNXR131418;MNXR133496;MNXR133690;MNXR133709;MNXR134157;MNXR134169;MNXR189506;MNXR194900;MNXR194901;MNXR95433;MNXR97817	1	17
ECDH10B_1302	1.1.1.1;1.2.1.10	MNXR100327;MNXR103538;MNXR107392;MNXR107575;MNXR107794;MNXR108795;MNXR109409;MNXR109410;MNXR109504;MNXR110642;MNXR110652;MNXR110813;MNXR110840;MNXR111836;MNXR111858;MNXR111862;MNXR112092;MNXR113578;MNXR113664;MNXR114023;MNXR114099;MNXR115960;MNXR116586;MNXR118236;MNXR121802;MNXR121806;MNXR122007;MNXR123748;MNXR129422;MNXR129432;MNXR129466;MNXR129497;MNXR129713;MNXR130002;MNXR130003;MNXR130004;MNXR130005;MNXR130006;MNXR130008;MNXR130009;MNXR130011;MNXR130012;MNXR130013;MNXR130014;MNXR130015;MNXR130016;MNXR130017;MNXR130018;MNXR130019;MNXR130020;MNXR130021;MNXR130023;MNXR130024;MNXR130026;MNXR130027;MNXR130028;MNXR130029;MNXR130030;MNXR130031;MNXR130057;MNXR130246;MNXR130247;MNXR130248;MNXR130249;MNXR130250;MNXR130469;MNXR130506;MNXR130779;MNXR130936;MNXR130949;MNXR130950;MNXR130951;MNXR131477;MNXR131478;MNXR131479;MNXR131480;MNXR131481;MNXR131482;MNXR131484;MNXR131485;MNXR131486;MNXR131487;MNXR131488;MNXR131547;MNXR132924;MNXR132940;MNXR133209;MNXR133210;MNXR133398;MNXR133418;MNXR133532;MNXR133643;MNXR133666;MNXR133686;MNXR133703;MNXR133713;MNXR133715;MNXR133788;MNXR133789;MNXR133796;MNXR133804;MNXR133820;MNXR133829;MNXR133834;MNXR134137;MNXR134530;MNXR134531;MNXR135412;MNXR138038;MNXR146250;MNXR146257;MNXR146812;MNXR146992;MNXR146993;MNXR146994;MNXR146995;MNXR146996;MNXR146997;MNXR147171;MNXR147581;MNXR147582;MNXR147597;MNXR147984;MNXR149871;MNXR151007;MNXR151516;MNXR151585;MNXR153111;MNXR165427;MNXR165428;MNXR175272;MNXR176427;MNXR178102;MNXR180036;MNXR188439;MNXR189056;MNXR189229;MNXR189842;MNXR190509;MNXR192032;MNXR193473;MNXR195553;MNXR195659;MNXR195660;MNXR197289;MNXR197321;MNXR198676;MNXR94833;MNXR95708;MNXR95709;MNXR95712;MNXR95716;MNXR95718;MNXR95719;MNXR95722;MNXR95724;MNXR95725;MNXR95726;MNXR95727;MNXR95728;MNXR95729;MNXR95731;MNXR95754;MNXR95788;MNXR96362;MNXR96365;MNXR96697	2	167
ECDH10B_1308	7.4.2.6	MNXR115562;MNXR191809	1	2
ECDH10B_1353	4.2.1.104	MNXR138188;MNXR139204;MNXR142126;MNXR96481	1	4
ECDH10B_1355	2.3.1.18	MNXR107617;MNXR175452;MNXR183864	1	3
ECDH10B_1359	1.14.13.127	MNXR152643;MNXR152644;MNXR94903	1	3
ECDH10B_1360	1.13.11.16	MNXR145239;MNXR145240;MNXR151207;MNXR151208;MNXR172937;MNXR172938;MNXR172939;MNXR172940;MNXR173058;MNXR195847;MNXR197709;MNXR197710;MNXR198110;MNXR198111;MNXR198265	1	15
ECDH10B_1375	4.2.1.20	MNXR146413;MNXR146414;MNXR146597;MNXR151535;MNXR151536;MNXR179132;MNXR179133	1	7
ECDH10B_1376	4.2.1.20	MNXR146413;MNXR146414;MNXR146597;MNXR151535;MNXR151536;MNXR179132;MNXR179133	1	7
ECDH10B_1378	2.4.2.18;4.1.3.27	MNXR152986;MNXR180483;MNXR190678;MNXR95843	2	4
ECDH10B_1379	4.1.3.27	MNXR152986;MNXR180483;MNXR95843	1	3
ECDH10B_1381	3.1.3.97	MNXR114486;MNXR119770;MNXR168355;MNXR172181;MNXR172182;MNXR172183;MNXR172184;MNXR172185;MNXR172186;MNXR172187;MNXR172188;MNXR172189;MNXR172190;MNXR172191;MNXR186837;MNXR190736	1	16
ECDH10B_1382	2.7.7.87	MNXR113802	1	1
ECDH10B_1384	5.4.99.22	MNXR117183;MNXR168176	1	2
ECDH10B_1385	2.5.1.17	MNXR126347;MNXR131193;MNXR131614;MNXR131615;MNXR131616;MNXR131617;MNXR131618;MNXR136176;MNXR149175;MNXR149846;MNXR163696;MNXR163697;MNXR164273;MNXR164276;MNXR164296;MNXR164297;MNXR165470;MNXR165683;MNXR166557;MNXR184496;MNXR190018;MNXR96982	1	22
ECDH10B_1389	5.6.2.1	MNXR115631	1	1
ECDH10B_1394	3.5.4.25	MNXR188543;MNXR195262;MNXR198475;MNXR198476	1	4
ECDH10B_1395	3.1.3.27;3.1.3.4;3.6.1.27;3.6.1.75	MNXR102347;MNXR102349;MNXR102350;MNXR102353;MNXR102356;MNXR102560;MNXR102567;MNXR102582;MNXR108700;MNXR116119;MNXR116128;MNXR116826;MNXR118016;MNXR119787;MNXR119867;MNXR135912;MNXR135914;MNXR135916;MNXR135933;MNXR135934;MNXR135935;MNXR135936;MNXR136187;MNXR136234;MNXR136235;MNXR136236;MNXR136237;MNXR136238;MNXR136239;MNXR136261;MNXR136262;MNXR136263;MNXR136264;MNXR136265;MNXR136266;MNXR143276;MNXR144555;MNXR145980;MNXR145981;MNXR145982;MNXR145983;MNXR145984;MNXR145985;MNXR147493;MNXR147494;MNXR147572;MNXR147573;MNXR149612;MNXR152893;MNXR152894;MNXR164869;MNXR164887;MNXR164913;MNXR166506;MNXR166507;MNXR166915;MNXR175633;MNXR175643;MNXR180081;MNXR180433;MNXR180434;MNXR180435;MNXR180436;MNXR180437;MNXR182088;MNXR182089;MNXR182090;MNXR188830;MNXR191366;MNXR192622;MNXR192623;MNXR195398;MNXR195399;MNXR195569;MNXR195570;MNXR195871;MNXR195872	4	77
ECDH10B_1398	4.1.1.23	MNXR180515;MNXR188594	1	2
ECDH10B_1402	3.1.4.52	MNXR150480	1	1
ECDH10B_1403	3.1.13.1	MNXR123178;MNXR174242;MNXR177661;MNXR177729;MNXR177738;MNXR177739;MNXR178086;MNXR183648	1	8
ECDH10B_1405	1.3.1.9	MNXR115858;MNXR116439;MNXR116443;MNXR116969;MNXR116970;MNXR120240;MNXR120244;MNXR120248;MNXR120252;MNXR122863;MNXR122929;MNXR122930;MNXR123137;MNXR123560;MNXR131995;MNXR131997;MNXR132028;MNXR135777;MNXR135779;MNXR135781;MNXR135783;MNXR135785;MNXR135787;MNXR147289;MNXR147290;MNXR148725;MNXR148726;MNXR148942;MNXR148943;MNXR148944;MNXR148945;MNXR149054;MNXR149055;MNXR149056;MNXR149064;MNXR149065;MNXR149066;MNXR149074;MNXR149075;MNXR149082;MNXR149083;MNXR149084;MNXR149092;MNXR149093;MNXR150062;MNXR150063;MNXR150064;MNXR152820;MNXR165397;MNXR172746;MNXR173043;MNXR175424;MNXR177538;MNXR177539;MNXR177540;MNXR193264;MNXR193268;MNXR193272;MNXR193276;MNXR193280;MNXR193284;MNXR193294;MNXR193299;MNXR193304;MNXR193309;MNXR193314;MNXR193319;MNXR193324;MNXR193329;MNXR193334;MNXR193339;MNXR193344;MNXR193349;MNXR193609;MNXR198276;MNXR198277;MNXR199303;MNXR97849;MNXR97853;MNXR97857;MNXR97859;MNXR97861	1	82
ECDH10B_1414	6.3.1.11	MNXR145008;MNXR183803	1	2
ECDH10B_1415	3.5.1.94	MNXR100114	1	1
